📺中央数字超高清,#genre
CCTV4U,http://www.lizhinas.top:8688/rtp/239.252.219.192:5140$江西
CCTV4M,http://www.lizhinas.top:8688/rtp/239.252.219.193:5140$江西
CETV1,http://op.sev7.net:4022/rtp/239.254.200.225:6259$河北
CETV2,http://media.shaohong86.cn:8888/rtp/238.255.2.221:5999
CETV4,http://op.sev7.net:4022/rtp/239.254.200.227:6261$河北
CETV5,http://op.sev7.net:4022/rtp/239.254.201.230:7253$河北


##北京uni组--1+
##1080P
IV凤凰卫视中文台,http://xubo0712.asuscomm.cn:9999/rtp/239.93.0.162:2192
IV凤凰卫视资讯台,http://xubo0712.asuscomm.cn:9999/rtp/239.93.0.118:2191

Y优优宝贝,http://ds920.dsmynas.net:5555/rtp/226.0.2.119:8864



