


👑湖南数字高清,#genre#
##9000
长沙电信组--1+
NXTVHD,http://lede.medahl.com:10098/rtp/239.76.255.57:9000$长沙电信1+
常德公共HD,http://lede.medahl.com:10098/rtp/239.76.255.11:9000$长沙电信1+
常德新闻综合HD,http://lede.medahl.com:10098/rtp/239.76.255.10:9000$长沙电信1+
郴州新闻综合HD,http://lede.medahl.com:10098/rtp/239.76.253.75:9000$长沙电信1+
道县综合HD,http://lede.medahl.com:10098/rtp/239.76.255.28:9000$长沙电信1+
桂东融媒HD,http://lede.medahl.com:10098/rtp/239.76.253.231:9000$长沙电信1+
衡阳公共HD,http://lede.medahl.com:10098/rtp/239.76.255.14:9000$长沙电信1+
衡阳县电视台HD,http://lede.medahl.com:10098/rtp/239.76.255.26:9000$长沙电信1+
衡阳新闻综合HD,http://lede.medahl.com:10098/rtp/239.76.255.13:9000$长沙电信1+
长沙茶频道HD,http://lede.medahl.com:10098/rtp/239.76.252.239:9000$长沙电信1+
长沙电视剧HD,http://lede.medahl.com:10098/rtp/239.76.252.118:9000$长沙电信1+
长沙电影HD,http://lede.medahl.com:10098/rtp/239.76.252.119:9000$长沙电信1+
长沙都市HD,http://lede.medahl.com:10098/rtp/239.76.253.104:9000$长沙电信1+
长沙国际HD,http://lede.medahl.com:10098/rtp/239.76.252.124:9000$长沙电信1+
长沙国际HD,http://lede.medahl.com:10098/rtp/239.76.252.240:9000$长沙电信1+
长沙国际HD,http://lede.medahl.com:10098/rtp/239.76.253.102:9000$长沙电信1+
长沙教育HD,http://lede.medahl.com:10098/rtp/239.76.252.233:9000$长沙电信1+
长沙经视HD,http://lede.medahl.com:10098/rtp/239.76.252.116:9000$长沙电信1+
长沙经视HD,http://lede.medahl.com:10098/rtp/239.76.253.103:9000$长沙电信1+
长沙娱乐HD,http://lede.medahl.com:10098/rtp/239.76.253.105:9000$长沙电信1+
金色夕阳HD,http://lede.medahl.com:10098/rtp/239.76.254.43:9000$长沙电信1+
津市TVHD,http://lede.medahl.com:10098/rtp/239.76.255.30:9000$长沙电信1+
浏阳新闻HD,http://lede.medahl.com:10098/rtp/239.76.255.6:9000$长沙电信1+
娄底教育HD,http://lede.medahl.com:10098/rtp/239.76.255.20:9000$长沙电信1+
邵阳新闻综合HD,http://lede.medahl.com:10098/rtp/239.76.255.21:9000$长沙电信1+
湘西公共HD,http://lede.medahl.com:10098/rtp/239.76.252.210:9000$长沙电信1+
潇湘电影HD,http://lede.medahl.com:10098/rtp/239.76.253.106:9000$长沙电信1+
益阳新闻综合HD,http://lede.medahl.com:10098/rtp/239.76.255.15:9000$长沙电信1+
岳阳睛彩公共HD,http://lede.medahl.com:10098/rtp/239.76.255.8:9000$长沙电信1+
张家界公共HD,http://lede.medahl.com:10098/rtp/239.76.252.235:9000$长沙电信1+
长沙新闻综合HD,http://lede.medahl.com:10098/rtp/239.76.253.121:9000$长沙电信1+
长沙政法HD,http://lede.medahl.com:10098/rtp/239.76.253.122:9000$长沙电信1+
