X求索记录,rtp://235.254.199.251:7980$重庆cmc
重QA导视,rtp://235.254.196.101:1162$重庆cmc
重QB睛彩,rtp://235.254.196.218:1146$重庆cmc
重QC新闻频道,rtp://235.254.196.199:7980$重庆cmc
重QD影视频道,rtp://235.254.198.180:7980$重庆cmc
重QE都市频道,rtp://235.254.198.181:7980$重庆cmc
重QF时尚生活,rtp://235.254.198.182:7980$重庆cmc
重QG娱乐频道,rtp://235.254.198.187:7980$重庆cmc
重QH新农村,rtp://235.254.198.186:7980$重庆cmc
重QI社会与法,rtp://235.254.196.210:1112$重庆cmc
重QK科教频道,rtp://235.254.196.215:1132$重庆cmc
重QL汽摩频道,rtp://235.254.196.221:1156$重庆cmc
重QP谍战剧场,rtp://235.254.198.117:1744$重庆cmc
重QP相声小品,rtp://235.254.198.118:1748$重庆cmc
重QP野外,rtp://235.254.198.119:1752$重庆cmc
重QP法治,rtp://235.254.198.120:1756$重庆cmc
重QP热播剧场,rtp://235.254.198.113:1728$重庆cmc
重QP经典电影,rtp://235.254.198.114:1732$重庆cmc
重QP光影频道,rtp://235.254.198.91:1640$重庆cmc
重QP高网电影,rtp://235.254.198.95:1656$重庆cmc
重QP城市剧场,rtp://235.254.198.74:1572$重庆cmc
重QP军旅剧场,rtp://235.254.198.75:1576$重庆cmc
重QP古装剧场,rtp://235.254.198.76:1580$重庆cmc
重QP音乐现场,rtp://235.254.198.77:1584$重庆cmc
重QP地理,rtp://235.254.198.78:1588$重庆cmc
重QP美妆,rtp://235.254.198.79:1592$重庆cmc
重QP美人,rtp://235.254.198.80:1596$重庆cmc
重QP精选,rtp://235.254.198.81:1600$重庆cmc
重QP解密,rtp://235.254.198.82:1604$重庆cmc
重QP军事,rtp://235.254.198.83:1608$重庆cmc
重QP国学,rtp://235.254.198.84:1612$重庆cmc
