WA安徽卫视,rtp://225.0.4.133:7980$重庆uni
WB北京卫视,rtp://225.0.4.78:7980$重庆uni
WD东方卫视,rtp://225.0.4.80:7980$重庆uni
WG广东卫视,rtp://225.0.4.84:7980$重庆uni
WG贵州卫视,rtp://225.0.4.175:7980$重庆uni
WH河北卫视,rtp://225.0.4.174:7980$重庆uni
WH黑龙江卫视,rtp://225.0.4.201:7980$重庆uni
WH湖北卫视,rtp://225.0.4.217:7980$重庆uni
WH湖南卫视,rtp://225.0.4.75:7980$重庆uni
WJ江苏卫视,rtp://225.0.4.79:7980$重庆uni
WL辽宁卫视,rtp://225.0.4.98:7980$重庆uni
WS山东卫视,rtp://225.0.4.199:7980$重庆uni
WS深圳卫视,rtp://225.0.4.202:7980$重庆uni
WT天津卫视,rtp://225.0.4.82:7980$重庆uni
WZ浙江卫视,rtp://225.0.4.81:7980$重庆uni
WC重庆卫视,rtp://225.0.4.187:7980$重庆uni
X纪实人文,rtp://225.0.4.99:7980$重庆uni
重QD影视频道,rtp://225.0.4.192:7980$重庆uni
