CCTV1,rtp://239.3.1.129:8008$北/京联通
CCTV2,rtp://239.3.1.60:8084$北/京联通
CCTV3,rtp://239.3.1.172:8001$北/京联通
CCTV4,rtp://239.3.1.105:8092$北/京联通
CCTV5,rtp://239.3.1.173:8001$北/京联通
CCTV5+,rtp://239.3.1.130:8004$北/京联通
CCTV6,rtp://239.3.1.174:8001$北/京联通
CCTV7,rtp://239.3.1.61:8104$北/京联通
CCTV8,rtp://239.3.1.175:8001$北/京联通
CCTV9,rtp://239.3.1.62:8112$北/京联通
CCTV10,rtp://239.3.1.63:8116$北/京联通
CCTV11,rtp://239.3.1.152:8120$北/京联通
CCTV12,rtp://239.3.1.64:8124$北/京联通
CCTV13,rtp://239.3.1.124:8128$北/京联通
CCTV14,rtp://239.3.1.65:8132$北/京联通
CCTV15,rtp://239.3.1.153:8136$北/京联通
CCTV16,rtp://239.3.1.184:8001$北/京联通
CCTV17,rtp://239.3.1.151:8144$北/京联通

WA安徽卫视,rtp://239.3.1.211:8064$北/京联通
WB北京卫视,rtp://239.3.1.241:8000$北/京联通
WD东方卫视,rtp://239.3.1.136:8032$北/京联通
WD东南卫视,rtp://239.3.1.156:8148$北/京联通
WG广东卫视,rtp://239.3.1.142:8048$北/京联通
WG贵州卫视,rtp://239.3.1.149:8076$北/京联通
WH黑龙江卫视,rtp://239.3.1.133:8016$北/京联通
WH湖北卫视,rtp://239.3.1.138:8044$北/京联通
WH湖南卫视,rtp://239.3.1.132:8012$北/京联通
WJ吉林卫视,rtp://239.3.1.240:8172$北/京联通
X纪实人文,rtp://239.3.1.212:8060$北/京联通
WJ江苏卫视,rtp://239.3.1.135:8028$北/京联通
WJ江西卫视,rtp://239.3.1.123:8164$北/京联通
X金鹰纪实,rtp://239.3.1.58:8156$北/京联通
WL辽宁卫视,rtp://239.3.1.210:8056$北/京联通
WS山东卫视,rtp://239.3.1.209:8052$北/京联通
WS深圳卫视,rtp://239.3.1.134:8020$北/京联通
WT天津卫视,rtp://239.3.1.141:1234$北/京联通
WZ浙江卫视,rtp://239.3.1.137:8036$北/京联通
WC重庆卫视,rtp://239.3.1.122:8160$北/京联通

Y卡酷少儿,rtp://239.3.1.189:8000$北/京联通
IPT淘剧场,rtp://239.3.1.95:8001$北/京联通
IPT淘娱乐,rtp://239.3.1.100:8001$北/京联通
IPT淘贝比,rtp://239.3.1.238:8001$北/京联通
IPT淘萌宠,rtp://239.3.1.102:8001$北/京联通
IPT淘电影,rtp://239.3.1.250:8001$北/京联通
北JA体育休闲,rtp://239.3.1.243:8000$北/京联通
北JA财经高清,rtp://239.3.1.116:8000$北/京联通
北JA国际高清,rtp://239.3.1.235:8000$北/京联通
北JA生活高清,rtp://239.3.1.117:8000$北/京联通
北JA文艺高清,rtp://239.3.1.242:8000$北/京联通
北JA新闻高清,rtp://239.3.1.159:8000$北/京联通
北JB精选普清,rtp://239.3.1.74:4120$北/京联通
北JB星影普清,rtp://239.3.1.94:4120$北/京联通
北JB光影普清,rtp://239.3.1.84:4120$北/京联通
北JB喜剧影院,rtp://239.3.1.91:4120$北/京联通
北JB家庭影院,rtp://239.3.1.93:4120$北/京联通
北JB精选普清,rtp://239.3.1.74:4120$北/京联通
北JB经典电影,rtp://239.3.1.195:9024$北/京联通
北JB地理普清,rtp://239.3.1.71:4120$北/京联通
北JB星影普清,rtp://239.3.1.94:4120$北/京联通
北JB光影普清,rtp://239.3.1.84:4120$北/京联通
北JB喜剧影院,rtp://239.3.1.91:4120$北/京联通
北JB家庭影院,rtp://239.3.1.93:4120$北/京联通
北JB经典电影,rtp://239.3.1.195:9024$北/京联通
北JB地理普清,rtp://239.3.1.71:4120$北/京联通

