WA安徽卫视,rtp://239.21.1.159:5002$山/东电信
WB北京卫视,rtp://239.21.1.88:5002$山/东电信
兵团卫视,rtp://239.21.1.234:5002$山/东电信
WD东方卫视,rtp://239.21.1.111:5002$山/东电信
WD东南卫视,rtp://239.21.1.113:5002$山/东电信
WG甘肃卫视,rtp://239.21.2.22:5002$山/东电信
WG广东卫视,rtp://239.21.1.92:5002$山/东电信
WG贵州卫视,rtp://239.21.1.166:5002$山/东电信
WH河北卫视,rtp://239.21.1.168:5002$山/东电信
WH河南卫视,rtp://239.21.2.37:5002$山/东电信
WH黑龙江卫视,rtp://239.21.1.91:5002$山/东电信
WH湖北卫视,rtp://239.21.1.163:5002$山/东电信
WH湖南卫视,rtp://239.21.1.158:5002$山/东电信
X纪实科教,rtp://239.21.1.172:5002$山/东电信
WJ江苏卫视,rtp://239.21.1.89:5002$山/东电信
WJ江西卫视,rtp://239.21.1.167:5002$山/东电信
X金鹰纪实,rtp://239.21.1.170:5002$山/东电信
Y金鹰卡通,rtp://239.21.1.48:5002$山/东电信
WL辽宁卫视,rtp://239.21.1.164:5002$山/东电信
内蒙古卫视,rtp://239.21.1.41:5002$山/东电信
宁夏卫视,rtp://239.21.1.44:5002$山/东电信
农林卫视,rtp://239.21.1.235:5002$山/东电信
WS山东卫视,rtp://239.21.1.87:5002$山/东电信
WS深圳卫视,rtp://239.21.1.93:5002$山/东电信
WS四川卫视,rtp://239.21.2.15:5002$山/东电信
WS天津卫视,rtp://239.21.1.165:5002$山/东电信
西藏卫视,rtp://239.21.1.46:5002$山/东电信
新疆卫视,rtp://239.21.1.45:5002$山/东电信
WZ浙江卫视,rtp://239.21.1.90:5002$山/东电信
WC重庆卫视,rtp://239.21.1.233:5002$山/东电信
山DA教育,rtp://239.21.1.169:5002$山/东电信
山DB农科,rtp://239.21.1.183:5002$山/东电信
山DC齐鲁,rtp://239.21.1.134:5002$山/东电信
山DD少_儿,rtp://239.21.1.208:5002$山/东电信
山DD生活,rtp://239.21.1.175:5002$山/东电信
山DD体育,rtp://239.21.1.141:5002$山/东电信
山DD文旅,rtp://239.21.1.176:5002$山/东电信
山DD新闻,rtp://239.21.1.140:5002$山/东电信
山DD综艺,rtp://239.21.1.177:5002$山/东电信
山DE济南教育,rtp://239.21.1.133:5002$山/东电信
山DE烟台公共,rtp://239.21.1.117:5002$山/东电信
山DE烟台经济,rtp://239.21.1.205:5002$山/东电信
山DE烟台新闻,rtp://239.21.1.116:5002$山/东电信
山DE烟台影视,rtp://239.21.1.204:5002$山/东电信
山DF德州公共,rtp://239.21.1.76:5002$山/东电信
山DF德州新闻,rtp://239.21.1.75:5002$山/东电信
山DF齐河新闻,rtp://239.21.1.230:5002$山/东电信
山DG潍坊TV-1,rtp://239.21.1.77:5002$山/东电信
山DG潍坊TV-2,rtp://239.21.1.78:5002$山/东电信
山DG淄博公共,rtp://239.21.1.182:5002$山/东电信
山DG淄博新闻,rtp://239.21.1.84:5002$山/东电信
山DG淄博都市,rtp://239.21.1.83:5002$山/东电信
山DG淄博生活,rtp://239.21.1.109:5002$山/东电信
山DG滨州公共,rtp://239.21.1.119:5002$山/东电信
山DG滨州新闻,rtp://239.21.1.118:5002$山/东电信
山DZ财富天下,rtp://239.21.1.127:5002$山/东电信
山DH东营公共,rtp://239.21.1.82:5002$山/东电信
山DH东营新闻,rtp://239.21.1.81:5002$山/东电信
山DZ光影,rtp://239.21.1.131:5002$山/东电信
山DG菏泽1,rtp://239.21.1.103:5002$山/东电信
山DG菏泽2,rtp://239.21.2.18:5002$山/东电信
山DE济南都市,rtp://239.21.1.63:5002$山/东电信
山DE济南少_儿,rtp://239.21.1.68:5002$山/东电信
山DE济南生活,rtp://239.21.1.64:5002$山/东电信
山DE济南新闻,rtp://239.21.1.62:5002$山/东电信
山DE济南新闻,rtp://239.21.1.94:5002$山/东电信
山DE济南影视,rtp://239.21.1.65:5002$山/东电信
山DE济南娱乐,rtp://239.21.1.66:5002$山/东电信
山DK济宁公共,rtp://239.21.2.20:5002$山/东电信
山DK济宁教育,rtp://239.21.1.139:5002$山/东电信
山DK济宁综合,rtp://239.21.1.138:5002$山/东电信
山DK聊城公共,rtp://239.21.1.254:5002$山/东电信
山DK聊城综合,rtp://239.21.1.253:5002$山/东电信
山DZ墨宝,rtp://239.21.1.130:5002$山/东电信
山DE青岛1,rtp://239.21.1.69:5002$山/东电信
山DE青岛2,rtp://239.21.1.70:5002$山/东电信
山DE青岛3,rtp://239.21.1.71:5002$山/东电信
山DE青岛4,rtp://239.21.1.72:5002$山/东电信
山DE青岛5,rtp://239.21.1.73:5002$山/东电信
山DE青岛6,rtp://239.21.1.74:5002$山/东电信
