广XA新闻,rtp://239.81.0.248:4056$广西cmc
广XB影视,rtp://239.81.0.250:4056$广西cmc
广XC都市,rtp://239.81.0.247:4056$广西cmc
广XD综艺,rtp://239.81.0.214:4056$广西cmc
广XE_12tv,rtp://239.81.0.124:4056$广西cmc
广XF影院,rtp://239.81.0.100:4056$广西cmc
广XG玉林新闻,rtp://239.81.0.138:4056$广西cmc
广XH南宁都市,rtp://239.81.0.127:4056$广西cmc
广XH南宁公共,rtp://239.81.0.129:4056$广西cmc
广XI南宁新闻,rtp://239.81.0.126:4056$广西cmc
广XI南宁新闻,rtp://239.81.0.241:4056$广西cmc
广XI南宁影视,rtp://239.81.0.128:4056$广西cmc
广XJ柳州新闻,rtp://239.81.0.134:4056$广西cmc
广XJ北海新闻,rtp://239.81.0.136:4056$广西cmc
广XJ桂林新闻,rtp://239.81.0.135:4056$广西cmc
广XK贺州新闻,rtp://239.81.0.137:4056$广西cmc
广XZ电竞1,rtp://239.81.0.203:4056$广西cmc
广XZ电竞2,rtp://239.81.0.201:4056$广西cmc
广XE都市剧场,rtp://239.81.0.81:4056$广西cmc
广XE法治天地,rtp://239.81.0.79:4056$广西cmc
广XYIPV7,rtp://239.81.0.253:4056$广西cmc
广XYIPV8,rtp://239.81.0.208:4056$广西cmc
广XE热播剧场,rtp://239.81.0.85:4056$广西cmc
