CCTV1,rtp://239.49.8.19:9614@江\苏新电信
CCTV2,rtp://239.49.8.50:9802@江\苏新电信
CCTV3,rtp://239.49.8.74:8000@江\苏新电信
CCTV4,rtp://239.49.8.51:9806@江\苏新电信
CCTV5,rtp://239.49.8.75:8000@江\苏新电信
CCTV51,rtp://239.49.8.18:9610@江\苏新电信
CCTV6,rtp://239.49.8.76:8000@江\苏新电信
CCTV7,rtp://239.49.0.126:8000@江\苏新电信
CCTV8,rtp://239.49.8.77:8000@江\苏新电信
CCTV9,rtp://239.49.8.53:9814@江\苏新电信
CCTV10,rtp://239.49.8.54:9818@江\苏新电信
CCTV11,rtp://239.49.0.127:8000@江\苏新电信
CCTV12,rtp://239.49.8.55:9822@江\苏新电信
CCTV13,rtp://239.49.8.109:8000@江\苏新电信
CCTV14,rtp://239.49.8.56:9826@江\苏新电信
CCTV15,rtp://239.49.0.128:8000@江\苏新电信
CCTV16,rtp://239.49.8.31:8000@江\苏新电信
CCTV17,rtp://239.49.8.52:9810@江\苏新电信
CF第一剧场,rtp://239.49.8.94:8000@江\苏新电信
CF电视指南,rtp://239.49.8.84:8000@江\苏新电信
CF风云足球,rtp://239.49.8.85:8000@江\苏新电信
CF高尔夫网球,rtp://239.49.8.86:8000@江\苏新电信
CF世界地理,rtp://239.49.8.87:8000@江\苏新电信
CF兵器科技,rtp://239.49.8.88:8000@江\苏新电信
CF风云剧场,rtp://239.49.8.89:8000@江\苏新电信
CF文化精品,rtp://239.49.8.90:8000@江\苏新电信
CF怀旧剧场,rtp://239.49.8.91:8000@江\苏新电信
CF风云音乐,rtp://239.49.8.92:8000@江\苏新电信
CF女性时尚,rtp://239.49.8.93:8000@江\苏新电信
CF央视台球,rtp://239.49.8.32:8000@江\苏新电信
CETV1,rtp://239.49.8.115:8000@江\苏新电信
CETV4,rtp://239.49.0.125:8000@江\苏新电信
WA安徽卫视,rtp://239.49.8.80:8000@江\苏新电信
WB北京卫视,rtp://239.49.8.11:9414@江\苏新电信
WD东方卫视,rtp://239.49.8.17:9606@江\苏新电信
WD东南卫视,rtp://239.49.8.112:8000@江\苏新电信
WG广东卫视,rtp://239.49.8.13:9422@江\苏新电信
WG广西卫视,rtp://239.49.8.10:8000@江\苏新电信
WG贵州卫视,rtp://239.49.8.49:8000@江\苏新电信
WH海南卫视,rtp://239.49.8.83:8000@江\苏新电信
WH河北卫视,rtp://239.49.8.114:8000@江\苏新电信
WH河南卫视,rtp://239.49.8.29:8000@江\苏新电信
WH黑龙江卫视,rtp://239.49.8.14:9426@江\苏新电信
WH湖北卫视,rtp://239.49.8.8:9632@江\苏新电信
WH湖南卫视,rtp://239.49.8.12:9418@江\苏新电信
WJ吉林卫视,rtp://239.49.8.113:8000@江\苏新电信
WJ江苏卫视,rtp://239.49.8.16:9602@江\苏新电信
WJ江西卫视,rtp://239.49.8.111:8000@江\苏新电信
X金鹰纪实,rtp://239.49.8.79:8000@江\苏新电信
Y金鹰卡通,rtp://239.49.8.33:8000@江\苏新电信
WL辽宁卫视,rtp://239.49.8.48:8000@江\苏新电信
WS三沙卫视,rtp://239.49.0.167:8000@江\苏新电信
WS山东卫视,rtp://239.49.8.7:9306@江\苏新电信
WS深圳卫视,rtp://239.49.8.15:9430@江\苏新电信
WS四川卫视,rtp://239.49.8.110:8000@江\苏新电信
WT天津卫视,rtp://239.49.8.35:8620@江\苏新电信
Y优漫卡通,rtp://239.49.8.119:8000@江\苏新电信
WY云南卫视,rtp://239.49.0.177:8000@江\苏新电信
WZ浙江卫视,rtp://239.49.8.20:9618@江\苏新电信
WC重庆卫视,rtp://239.49.8.57:9830@江\苏新电信
山东教育卫视,rtp://239.49.0.235:8000@江\苏新电信

江S新闻,rtp://239.49.8.120:8000@江\苏新电信
江S城市,rtp://239.49.8.107:8000@江\苏新电信
江S综艺,rtp://239.49.8.108:8000@江\苏新电信
江S体育休闲,rtp://239.49.8.117:8000@江\苏新电信
江S影视,rtp://239.49.8.118:8000@江\苏新电信
江S教育,rtp://239.49.8.122:8000@江\苏新电信
江S国际,rtp://239.49.0.22:8168@江\苏新电信
江S南京生活,rtp://239.49.0.184:9438@江\苏新电信
江S南京教科,rtp://239.49.0.183:9434@江\苏新电信
江S南京十八,rtp://239.49.0.26:8200@江\苏新电信
江S南京新闻,rtp://239.49.0.25:8192@江\苏新电信
江S财富天下,rtp://239.49.0.166:9322@江\苏新电信
江S南京影视,rtp://239.49.0.24:8000@江\苏新电信
江S南京娱乐,rtp://239.49.0.38:8000@江\苏新电信
江S南京信息,rtp://239.49.0.75:8000@江\苏新电信
江S南京少儿,rtp://239.49.0.45:8000@江\苏新电信
江S武术世界,rtp://239.49.0.205:8000@江\苏新电信
江S文物宝库,rtp://239.49.0.209:8000@江\苏新电信
江S梨园,rtp://239.49.8.193:8000@江\苏新电信
