CCTV1,rtp://239.254.200.45:8008$河\北电信
CCTV2,rtp://239.254.200.158:6000$河\北电信
CCTV3,rtp://239.254.201.152:7205$河\北电信
CCTV4,rtp://239.254.200.190:6307$河\北电信
CCTV5,rtp://239.254.201.153:7206$河\北电信
CCTV5+,rtp://239.254.200.46:8004$河\北电信
CCTV6,rtp://239.254.201.154:7207$河\北电信
CCTV7,rtp://239.254.200.159:6000$河\北电信
CCTV8,rtp://239.254.201.155:7208$河\北电信
CCTV9,rtp://239.254.200.59:8112$河\北电信
CCTV10,rtp://239.254.200.160:6000$河\北电信
CCTV11,rtp://239.254.201.123:8120$河\北电信
CCTV12,rtp://239.254.200.161:6000$河\北电信
CCTV13,rtp://239.254.200.9:8264$河\北电信
CCTV14,rtp://239.254.200.162:6000$河\北电信
CCTV15,rtp://239.254.201.124:8136$河\北电信
CCTV17,rtp://239.254.201.120:8144$河\北电信
CETV1,rtp://239.254.200.225:6259$河\北电信
CETV4,rtp://239.254.200.227:6261$河\北电信
CETV5,rtp://239.254.201.230:7253$河\北电信
CCTV4U,rtp://239.254.201.205:4220$河\北电信
CCTV4M,rtp://239.254.201.206:4220$河\北电信
CF电视指南,rtp://239.254.201.217:7250$河\北电信
CF第一剧场,rtp://239.254.201.218:7258$河\北电信
CF风云剧场,rtp://239.254.201.219:7257$河\北电信
CF怀旧剧场,rtp://239.254.201.220:7256$河\北电信
CF风云音乐,rtp://239.254.201.221:7259$河\北电信
CF风云足球,rtp://239.254.201.222:7251$河\北电信
CF高尔夫网球,rtp://239.254.201.223:7252$河\北电信
CF兵器科技,rtp://239.254.201.225:7249$河\北电信
CF世界地理,rtp://239.254.201.226:7254$河\北电信
CF女性时尚,rtp://239.254.201.228:7255$河\北电信
CF文化精品,rtp://239.254.201.229:7260$河\北电信
CF央视台球,rtp://239.254.201.171:7176$河\北电信
WA安徽卫视,rtp://239.254.200.163:6000$河\北电信
WB北京卫视,rtp://239.254.200.47:8024$河\北电信
WD东方卫视,rtp://239.254.200.52:8032$河\北电信
WD东南卫视,rtp://239.254.201.13:6291$河\北电信
WG广东卫视,rtp://239.254.200.56:8048$河\北电信
WG广西卫视,rtp://239.254.200.80:8300$河\北电信
WG贵州卫视,rtp://239.254.201.20:6315$河\北电信
WH海南卫视,rtp://239.254.201.125:6288$河\北电信
