浙JA宁波1,rtp://233.50.201.168:5140$浙江cmc
浙JA宁波2,rtp://233.50.201.178:5140$浙江cmc
浙JA宁波3,rtp://233.50.201.179:5140$浙江cmc
浙JA宁波4,rtp://233.50.201.180:5140$浙江cmc
浙JA宁波5,rtp://233.50.201.181:5140$浙江cmc
浙JB钱江,rtp://233.50.201.132:5140$浙江cmc
浙JB杭州综合,rtp://233.50.201.173:5140$浙江cmc
浙JB杭州明珠,rtp://233.50.201.174:5140$浙江cmc
浙JB杭州生活,rtp://233.50.201.175:5140$浙江cmc
浙JB杭州影视,rtp://233.50.201.176:5140$浙江cmc
浙JB杭州青少,rtp://233.50.201.177:5140$浙江cmc
浙JC经济高清,rtp://233.50.201.133:5140$浙江cmc
浙JC教育高清,rtp://233.50.201.134:5140$浙江cmc
浙JC民生高清,rtp://233.50.201.136:5140$浙江cmc
浙JA新闻高清,rtp://233.50.201.137:5140$浙江cmc
浙JA少儿高清,rtp://233.50.201.138:5140$浙江cmc
浙JD温州新闻,rtp://233.50.201.87:5140$浙江cmc
浙JD绍兴新闻,rtp://233.50.201.156:5140$浙江cmc
浙JD之江记录,rtp://233.50.202.25:5140$浙江cmc
浙JD湖州公共,rtp://233.50.201.158:5140$浙江cmc
浙JD金华新闻,rtp://233.50.201.161:5140$浙江cmc
浙JD丽水新闻,rtp://233.50.201.162:5140$浙江cmc
浙JD嘉兴新闻,rtp://233.50.201.163:5140$浙江cmc
浙JD桐乡新闻,rtp://233.50.201.169:5140$浙江cmc
浙JB杭州导视,rtp://233.50.201.182:5140$浙江cmc
浙JE之江记录,rtp://233.50.202.25:5140$浙江cmc
浙JE法制天地,rtp://233.50.201.191:5140$浙江cmc
