湖BA新闻,rtp://239.69.1.40:9880$湖/北电信
湖BA经视,rtp://239.69.1.41:9886$湖/北电信
湖BA综合,rtp://239.69.1.42:9892$湖/北电信
湖BB垄上,rtp://239.69.1.43:9898$湖/北电信
湖BA影视,rtp://239.69.1.204:10866$湖/北电信
湖BA生活,rtp://239.69.1.205:10872$湖/北电信
湖BA教育,rtp://239.69.1.206:10878$湖/北电信
湖BC武汉新闻,rtp://239.69.1.145:10506$湖/北电信
湖BC武汉影视,rtp://239.69.1.146:10512$湖/北电信
湖BC武汉科技,rtp://239.69.1.251:11148$湖/北电信
湖BC武汉经济,rtp://239.69.1.35:9850$湖/北电信
湖BC武汉文体,rtp://239.69.1.147:10518$湖/北电信
湖BC武汉外语,rtp://239.69.1.36:9856$湖/北电信
湖BC武汉教育,rtp://239.69.1.60:9994$湖/北电信
湖BD蔡甸综合,rtp://239.69.1.245:11112$湖/北电信
湖BD阳新综合,rtp://239.69.1.34:9844$湖/北电信
湖BD房县综合,rtp://239.69.1.192:10794$湖/北电信
湖BZ梨园,rtp://239.69.1.33:9838$湖/北电信
湖BZ武术,rtp://239.69.1.47:9922$湖/北电信
湖BZ垂钓,rtp://239.69.1.142:10488$湖/北电信
