CCTV1,rtp://238.255.2.91:5999$毕节\电信
CCTV2,rtp://238.255.2.11:5999$毕节\电信
CCTV3,rtp://238.255.2.133:5999$毕节\电信
CCTV4,rtp://238.255.2.92:5999$毕节\电信
CCTV4U,rtp://238.255.2.213:5999$毕节\电信
CCTV4M,rtp://238.255.2.214:5999$毕节\电信
CCTV5,rtp://238.255.2.134:5999$毕节\电信
CCTV5+,rtp://238.255.2.185:5999$毕节\电信
CCTV6,rtp://238.255.2.135:5999$毕节\电信
CCTV7,rtp://238.255.2.12:5999$毕节\电信
CCTV8,rtp://238.255.2.136:5999$毕节\电信
CCTV9,rtp://238.255.2.155:5999$毕节\电信
CCTV10,rtp://238.255.2.13:5999$毕节\电信
CCTV11,rtp://238.255.2.14:5999$毕节\电信
CCTV12,rtp://238.255.2.15:5999$毕节\电信
CCTV13,rtp://238.255.2.16:5999$毕节\电信
CCTV14,rtp://238.255.2.17:5999$毕节\电信
CCTV15,rtp://238.255.2.18:5999$毕节\电信
CCTV16,rtp://238.255.2.217:5999$毕节\电信
CCTV17,rtp://238.255.2.137:5999$毕节\电信
CF兵器科技,rtp://238.255.2.34:5999$毕节\电信
CF第一剧场,rtp://238.255.2.25:5999$毕节\电信
CF风云剧场,rtp://238.255.2.28:5999$毕节\电信
CF风云音乐,rtp://238.255.2.24:5999$毕节\电信
CF风云足球,rtp://238.255.2.29:5999$毕节\电信
CF高尔夫网球,rtp://238.255.2.223:5999$毕节\电信
CF怀旧剧场,rtp://238.255.2.33:5999$毕节\电信
CF女性时尚,rtp://238.255.2.27:5999$毕节\电信
CF世界地理,rtp://238.255.2.26:5999$毕节\电信
CF央视台球,rtp://238.255.2.224:5999$毕节\电信
CF文化精品,rtp://238.255.2.32:5999$毕节\电信
CETV1,rtp://238.255.2.105:5999$毕节\电信
CETV2,rtp://238.255.2.221:5999$毕节\电信
CETV4,rtp://238.255.2.222:5999$毕节\电信
CGTV纪录片,rtp://238.255.2.172:5999$毕节\电信
WA安徽卫视,rtp://238.255.2.101:5999$毕节\电信
WB北京卫视,rtp://238.255.2.81:5999$毕节\电信
WC重庆卫视,rtp://238.255.2.78:5999$毕节\电信
WD东方卫视,rtp://238.255.2.98:5999$毕节\电信
WD东南卫视,rtp://238.255.2.103:5999$毕节\电信
WG贵州卫视,rtp://238.255.2.1:5999$毕节\电信
WG甘肃卫视,rtp://238.255.2.73:5999$毕节\电信
大湾区卫视,rtp://238.255.2.60:5999$毕节\电信
WG广东卫视,rtp://238.255.2.59:5999$毕节\电信
WH海南卫视,rtp://238.255.2.58:5999$毕节\电信
WH河北卫视,rtp://238.255.2.77:5999$毕节\电信
WH河南卫视,rtp://238.255.2.74:5999$毕节\电信
WH黑龙江卫视,rtp://238.255.2.96:5999$毕节\电信
WH湖北卫视,rtp://238.255.2.102:5999$毕节\电信
WH湖南卫视,rtp://238.255.2.93:5999$毕节\电信
WJ吉林卫视,rtp://238.255.2.95:5999$毕节\电信
WJ江苏卫视,rtp://238.255.2.104:5999$毕节\电信
WJ江西卫视,rtp://238.255.2.94:5999$毕节\电信
WL辽宁卫视,rtp://238.255.2.69:5999$毕节\电信
WQ青海卫视,rtp://238.255.2.51:5999$毕节\电信
WX厦门卫视,rtp://238.255.2.205:5999$毕节\电信
WS山东卫视,rtp://238.255.2.97:5999$毕节\电信
WS深圳卫视,rtp://238.255.2.61:5999$毕节\电信
WS四川卫视,rtp://238.255.2.76:5999$毕节\电信
WT天津卫视,rtp://238.255.2.99:5999$毕节\电信
WZ浙江卫视,rtp://238.255.2.100:5999$毕节\电信
X金鹰纪实,rtp://238.255.2.108:5999$毕节\电信
Y金鹰卡通,rtp://238.255.2.55:5999$毕节\电信
X纪实人文,rtp://238.255.2.106:5999$毕节\电信
X纪实科教,rtp://238.255.2.107:5999$毕节\电信
西藏卫视藏,rtp://238.255.2.23:5999$毕节\电信
西藏卫视汉,rtp://238.255.2.65:5999$毕节\电信
新疆卫视,rtp://238.255.2.66:5999$毕节\电信
云南卫视,rtp://238.255.2.63:5999$毕节\电信
安多卫视,rtp://238.255.2.189:5999$毕节\电信
广西卫视,rtp://238.255.2.64:5999$毕节\电信
兵团卫视,rtp://238.255.2.67:5999$毕节\电信
内蒙古卫视,rtp://238.255.2.53:5999$毕节\电信
宁夏卫视,rtp://238.255.2.75:5999$毕节\电信
山东教育,rtp://238.255.2.79:5999$毕节\电信
哈哈炫动,rtp://238.255.2.56:5999$毕节\电信
嘉佳卡通,rtp://238.255.2.62:5999$毕节\电信
优漫卡通,rtp://238.255.2.57:5999$毕节\电信
国学频道,rtp://238.255.2.176:5999$毕节\电信

贵Z电视2,rtp://238.255.2.2:5999$毕节\电信
贵Z电视3,rtp://238.255.2.3:5999$毕节\电信
贵Z电视4,rtp://238.255.2.4:5999$毕节\电信
贵Z电视5,rtp://238.255.2.5:5999$毕节\电信
贵Z电视6,rtp://238.255.2.6:5999$毕节\电信
贵Z电视7,rtp://238.255.2.9:5999$毕节\电信
安顺新闻,rtp://238.255.2.157:5999$毕节\电信
安顺公共,rtp://238.255.2.158:5999$毕节\电信
贵Z毕节卫\视1,rtp://238.255.2.131:5999$毕节\电信
贵Z毕节卫\视2,rtp://238.255.2.132:5999$毕节\电信
贵ZB贵阳都市1,rtp://238.255.2.19:5999$毕节\电信
贵ZB贵阳都市2,rtp://238.255.2.20:5999$毕节\电信
贵ZB贵阳都市3,rtp://238.255.2.22:5999$毕节\电信
贵Z贵州移动电视,rtp://238.255.2.117:5999$毕节\电信
贵Z凯里卫\视,rtp://238.255.2.180:5999$毕节\电信
贵Z雷山综合,rtp://238.255.2.128:5999$毕节\电信
贵Z六盘水\1,rtp://238.255.2.115:5999$毕节\电信
贵Z六盘水\2,rtp://238.255.2.116:5999$毕节\电信
贵Z铜仁\1,rtp://238.255.2.31:5999$毕节\电信
贵Z铜仁\2,rtp://238.255.2.87:5999$毕节\电信
贵Z瓮安卫\视,rtp://238.255.2.201:5999$毕节\电信
贵ZA遵义都市,rtp://238.255.2.154:5999$毕节\电信
贵ZA遵义公共,rtp://238.255.2.152:5999$毕节\电信
贵ZA遵义综合,rtp://238.255.2.153:5999$毕节\电信
贵Z黔东南卫\视,rtp://238.255.2.179:5999$毕节\电信
贵Z黔南卫\视1,rtp://238.255.2.150:5999$毕节\电信
贵Z黔南卫\视1,rtp://238.255.2.216:5999$毕节\电信
贵Z黔南卫\视2,rtp://238.255.2.151:5999$毕节\电信
贵Z黔西南公共,rtp://238.255.2.127:5999$毕节\电信
贵Z黔西南综合,rtp://238.255.2.126:5999$毕节\电信
